channelId,period,chats,memberChats,uniqueChatters,uniqueMembers,nonMemberPercentage
UC_WOBIopwUih0rytRnr_1Ag,2021-03,108426,34326,1739,234,86.54399079930994
UC_a1ZYZ8ZTXpjg9xUY9sj8w,2021-03,110050,67931,5663,1085,80.84054388133498
UC_aB_-PHLFHiP61djM0oOiQ,2021-03,4362,0,368,0,100.0
UCa5g-Q_NT2COXiSS55bwXVQ,2021-03,5802,0,202,0,100.0
UCa9Y57gfeY0Zro_noHRVrnw,2021-03,734954,189854,35866,1568,95.62817152735181
UCajhBT4nMrg3DLS-bLL2RCg,2021-03,321205,118478,19561,1169,94.02382291293901
UCb5JxV6vKlYVknoJB8TnyYg,2021-03,240971,0,15663,0,100.0
UCb6ObE-XGCctO3WrjRZC-cw,2021-03,220794,32844,8351,229,97.25781343551671
UCbFwe3COkDrbNsbMyGNCsDg,2021-03,43177,10351,3014,168,94.42601194426013
UCbTkauz77OIO9KE5YcAKPlg,2021-03,36058,9196,672,75,88.83928571428571
UCbc8fwhdUNlqi-J99ISYu4A,2021-03,82400,12249,5013,263,94.75364053461001
UCc5H1WmEARIj2R16mvut0ZA,2021-03,151226,17162,5662,148,97.38608265630519
UCcD_EdnJcOjJMohDn435D3w,2021-03,13901,3509,402,45,88.80597014925374
UCdCczCYPOeP5hTfbx6tzz_A,2021-03,12321,1002,1038,41,96.05009633911368
UCdYR5Oyz8Q4g0ZmB4PkTD7g,2021-03,477493,38349,36956,1091,97.04784067539777
UCdn5BQ06XqgXoAxIhbqw5Rg,2021-03,774352,216999,50195,3220,93.5850184281303
UCdpUojq0KWZCN9bxXnZwz5w,2021-03,313072,71533,17762,775,95.63675261794843
UCdrQWcX7XLDSUEh9SAxnyBg,2021-03,10545,984,562,25,95.55160142348754
UCdsHTs3OOKj_ANMKnmbUASw,2021-03,1305,0,55,0,100.0
UCdyqAaZDKHXg4Ahi7VENThQ,2021-03,1005138,216752,56541,2620,95.36619444297058
UCeK9HFcRZoTrvqcUCtccMoQ,2021-03,158842,21101,5965,133,97.77032690695725
UCeLzT-7b2PBcunJplmWtoDg,2021-03,462595,189453,8432,904,89.27893738140418
UCeShTCVgZyq2lsBW9QwIJcw,2021-03,82893,17614,5018,350,93.02510960542048
UCe_p3YEuYJb8Np0Ip9dk-FQ,2021-03,24291,5993,2143,136,93.65375641623892
UCerkculBD7YLc_vOGrF7tKg,2021-03,198707,43720,8457,399,95.28201489890033
UCf6J4I7NwMXtuIU8YZKAjCA,2021-03,5833,0,209,0,100.0
UCfIZ5P7BcgIyLpfOj66DwtA,2021-03,154,0,32,0,100.0
UCfQVs_KuXeNAlGa3fb8rlnQ,2021-03,85653,29879,3412,236,93.08323563892145
UCfiK42sBHraMBK6eNWtsy7A,2021-03,40447,14371,1090,160,85.3211009174312
UCfipDDn7wY-C-SoUChgxCQQ,2021-03,174185,26865,7864,247,96.85910478128179
UCfki3lMEF6SGBFiFfo9kvUA,2021-03,134885,18192,7013,306,95.63667474689862
UCflNPJUJ4VQh1hGDNK7bsFg,2021-03,27987,8233,498,71,85.7429718875502
UCfwAKc_vwVTzTcm1wki8oHg,2021-03,85,0,15,0,100.0
UCg63a3lk6PNeWhVvMRM_mrQ,2021-03,51349,5328,2827,90,96.81641315882561
UCg8TPE5nLLOqlNnBivmQwww,2021-03,2472,0,291,0,100.0
UCghSSXNbZRmPAv3UaS8g21A,2021-03,971,0,71,0,100.0
UChAnqc_AY5_I3Px5dig3X1Q,2021-03,1260631,436322,56105,4323,92.29480438463595
UChLfthKoUV502J7gU9STArg,2021-03,250556,18369,35156,320,99.08977130504039
UChSvpZYRPh0FvG4SJGSga3g,2021-03,113883,35272,5506,516,90.6284053759535
